Date,Open,High,Low,Close,Volume
2011-07-01,131.95,134.1,131.78,133.96,177311326
2011-07-05,133.8,134.08,133.39,133.71,143543355
2011-07-06,133.48,134.14,133.11,133.94,120813267
2011-07-07,135.13,135.7,134.88,135.46,135298236
2011-07-08,133.84,134.44,133.39,134.4,141569480
2011-07-11,132.73,133.18,131.66,131.96,153549170
2011-07-12,131.69,132.78,131.36,131.43,183267791
2011-07-13,132.11,133.22,131.52,131.85,175157447
2011-07-14,132.17,132.78,130.68,130.94,203950283
2011-07-15,131.64,131.87,130.77,131.74,181930028
2011-07-18,131.06,131.28,129.63,130.58,156024657
2011-07-19,131.35,132.89,131.31,132.78,141053959
2011-07-20,133.08,133.15,132.42,132.65,116123946
2011-07-21,133.39,134.82,133.14,134.52,210672957
2011-07-22,134.5,134.72,133.77,134.61,104151486
2011-07-25,133.33,134.49,133.16,133.83,118778460
2011-07-26,133.75,133.96,133.03,133.36,110478321
2011-07-27,132.58,132.6,130.43,130.6,227669341
2011-07-28,130.62,131.76,130.01,130.16,174850267
2011-07-29,128.9,130.55,128.36,129.05,259846955
2011-08-01,130.95,130.96,127.53,128.71,282573772
2011-08-02,127.77,128.5,125.49,125.49,277202501
2011-08-03,125.66,126.31,123.53,126.21,330037238
2011-08-04,124.42,124.62,120.07,120.18,425131235
2011-08-05,121.9,122.07,116.87,119.98,563324602
2011-08-08,116.98,118.35,112.02,112.26,575520736
2011-08-09,114.25,117.49,110.27,117.37,488407780
2011-08-10,115.18,116.28,111.96,112.35,437511075
2011-08-11,113.45,118.92,112.85,117.28,370920501
2011-08-12,118.55,119.21,117.28,118.15,268509211
2011-08-15,119.24,120.74,119.0,120.55,212752002
2011-08-16,119.34,120.69,118.31,119.56,244497729
2011-08-17,120.31,121.19,118.72,119.67,208918724
2011-08-18,116.5,116.64,113.39,114.61,425616854
2011-08-19,112.91,115.88,112.5,112.68,356095922
2011-08-22,115.12,115.23,112.41,112.73,242458988
2011-08-23,113.17,116.54,112.58,116.46,281355605
2011-08-24,116.18,118.24,115.93,118.13,207713990
2011-08-25,118.8,119.4,115.87,116.31,257738746
2011-08-26,115.66,118.51,113.86,118.04,270142650
2011-08-29,119.52,121.42,119.44,121.38,161544072
2011-08-30,120.86,122.43,119.26,121.62,211257778
2011-08-31,122.48,123.51,121.3,122.06,245536971
2011-09-01,122.25,123.4,120.78,120.96,224361524
2011-09-02,118.47,119.07,117.43,117.84,203457102
2011-09-06,114.43,117.16,114.38,116.99,246122470
2011-09-07,118.85,120.33,118.37,120.27,179440332
2011-09-08,119.59,120.93,118.78,119.02,217993064
2011-09-09,117.68,118.1,115.28,115.86,324360564
2011-09-12,114.49,116.76,114.05,116.66,266243906
2011-09-13,117.08,118.18,116.22,117.58,233871130
2011-09-14,118.32,120.78,116.72,119.36,262265087
2011-09-15,120.55,121.47,119.57,121.47,249832457
2011-09-16,121.31,121.95,120.32,121.58,241561427
2011-09-19,119.56,120.93,118.72,120.31,203129673
2011-09-20,120.83,121.99,120.01,120.17,197070638
2011-09-21,120.26,120.59,116.5,116.51,265304249
2011-09-22,113.28,114.21,111.3,112.8,421358975
2011-09-23,112.16,114.16,112.02,113.54,256734677
2011-09-26,114.64,116.4,112.98,116.25,239547138
2011-09-27,118.53,119.56,116.84,117.6,256192520
2011-09-28,117.83,118.48,114.97,115.16,259939999
2011-09-29,117.12,117.63,113.94,116.02,269136509
2011-09-30,114.45,115.44,113.08,113.17,248418973
2011-10-03,112.5,113.95,109.82,109.93,311460260
2011-10-04,108.43,112.58,107.43,112.13,417972274
2011-10-05,112.59,114.72,111.58,114.5,256163233
2011-10-06,114.35,116.66,113.52,116.51,227492632
2011-10-07,117.16,117.25,115.06,115.75,248676622
2011-10-10,117.72,119.59,117.67,119.59,198271905
2011-10-11,118.85,120.04,118.75,119.68,178972455
2011-10-12,120.6,122.13,120.33,120.67,242813965
2011-10-13,120.03,120.87,119.12,120.47,195568141
2011-10-14,121.86,122.58,121.23,122.56,172262036
2011-10-17,121.99,122.06,119.93,120.24,171627600
2011-10-18,120.08,123.5,119.2,122.61,268361142
2011-10-19,122.33,123.08,120.72,121.14,214042358
2011-10-20,121.36,122.09,119.82,121.69,237363342
2011-10-21,123.07,124.12,122.72,123.91,235785897
2011-10-24,124.14,125.8,124.06,125.49,183187923
2011-10-25,124.93,124.94,122.78,123.08,251450068
2011-10-26,124.35,124.77,122.21,124.33,269728092
2011-10-27,127.7,129.42,126.61,128.53,311523237
2011-10-28,127.98,128.85,127.8,128.68,195357919
2011-10-31,127.23,127.26,125.36,125.45,196077055
2011-11-01,122.0,123.51,121.52,122.08,327694121
2011-11-02,123.88,124.4,122.8,123.99,223203130
2011-11-03,125.31,126.5,123.6,126.24,250528531
2011-11-04,125.23,125.7,124.01,125.45,222714743
2011-11-07,125.43,126.39,124.2,126.28,190854662
